"Date,Open,High,Low,Close"
"07/2014,9,853.74,10,032.28,9,395.35,9,407.48"
"06/2014,9,986.86,10,050.98,9,749.75,9,833.07"
"05/2014,9,611.79,9,970.77,9,407.09,9,943.27"
"04/2014,9,601.96,9,721.50,9,166.53,9,603.23"
"03/2014,9,553.08,9,634.82,8,913.27,9,555.91"
"02/2014,9,318.77,9,720.66,9,071.25,9,692.08"
"01/2014,9,598.25,9,794.05,9,166.05,9,306.48"
"12/2013,9,412.95,9,594.35,8,984.28,9,552.16"
"11/2013,9,032.29,9,424.62,8,962.42,9,405.30"
"10/2013,8,618.59,9,070.17,8,489.62,9,033.92"
"09/2013,8,224.34,8,770.10,8,095.91,8,594.40"
"08/2013,8,320.38,8,457.05,8,094.22,8,103.15"
"07/2013,8,000.02,8,415.33,7,730.37,8,275.97"
"06/2013,8,291.49,8,395.56,7,655.83,7,959.22"
"05/2013,7,905.35,8,557.86,7,896.99,8,348.84"
"04/2013,7,806.12,7,965.90,7,418.36,7,913.71"
"03/2013,7,735.35,8,074.47,7,627.99,7,795.31"
"02/2013,7,792.59,7,860.57,7,537.29,7,741.70"
"01/2013,7,689.46,7,871.79,7,634.26,7,776.05"
"12/2012,7,427.41,7,682.90,7,417.30,7,612.39"
"11/2012,7,255.30,7,442.60,6,950.53,7,405.50"
"10/2012,7,227.81,7,447.81,7,120.68,7,260.63"
"09/2012,6,946.61,7,478.53,6,892.86,7,216.15"
"08/2012,6,775.99,7,105.43,6,596.21,6,970.79"
"07/2012,6,405.39,6,835.19,6,324.53,6,772.26"
"06/2012,6,259.76,6,427.49,5,914.43,6,416.28"
"05/2012,6,861.30,6,875.87,6,208.09,6,264.38"
"04/2012,6,973.99,7,081.06,6,499.07,6,761.19"
"03/2012,6,831.97,7,194.33,6,612.61,6,946.83"
"02/2012,6,482.95,6,971.03,6,482.56,6,856.08"
"01/2012,5,900.18,6,574.19,5,900.18,6,458.91"
"12/2011,6,080.48,6,170.04,5,637.53,5,898.35"
"11/2011,5,934.54,6,193.34,5,366.50,6,088.84"
"10/2011,5,311.93,6,430.60,5,125.44,6,141.34"
"09/2011,5,793.10,5,794.50,4,965.80,5,502.02"
"08/2011,7,254.50,7,282.01,5,345.36,5,784.85"
"07/2011,7,374.49,7,523.53,6,996.26,7,158.77"
"06/2011,7,310.56,7,378.35,6,991.62,7,376.24"
"05/2011,7,570.86,7,600.41,7,071.42,7,293.69"
"04/2011,7,086.56,7,514.69,6,994.56,7,514.46"
"03/2011,7,309.80,7,356.33,6,483.39,7,041.31"
"02/2011,7,133.34,7,441.82,7,093.91,7,272.32"
"01/2011,6,973.39,7,180.15,6,835.74,7,077.48"
"12/2010,6,748.36,7,087.84,6,736.69,6,914.19"
"11/2010,6,637.09,6,907.61,6,586.01,6,688.49"
"10/2010,6,244.06,6,668.54,6,115.87,6,601.37"
"09/2010,5,936.94,6,339.97,5,876.43,6,229.02"
"08/2010,6,187.64,6,386.97,5,833.51,5,925.22"
"07/2010,5,885.61,6,253.64,5,809.37,6,147.97"
"06/2010,5,943.94,6,330.81,5,798.76,5,965.52"
"05/2010,6,122.76,6,276.80,5,607.68,5,964.33"
"04/2010,6,189.38,6,341.52,6,024.01,6,135.70"
